"Controlar el uso de ; al final de sentencias secuenciales"|Controlar el uso de ; al final de sentencias secuenciales|pseint/LangSettings.cpp|20|Control the use of ; at the end of sequential statements|READY
"Si esta opción está activada obliga a colocar punto y coma (;) al final de las instrucciones secuenciales, como se hace "|Si esta opcion esta activada obliga a colocar punto y coma (;) al final de las instrucciones secuenciales, como se hace |pseint/LangSettings.cpp|24|If this option is enabled, it forces the use of semicolons (;) at the end of sequential instructions, as done|READY
"en lenguajes como C++ o Pascal (util para acostumbrarse antes de dar el salto desde el pseudocódigo a un lenguaje real). "|en lenguajes como C++ o Pascal (util para acostumbrarse antes de dar el salto desde el pseudocodigo a un lenguaje real). |pseint/LangSettings.cpp|25|in languages like C++ or Pascal (useful to get used to before moving from pseudocode to a real language).|READY
"si está desactivada el uso del punto y coma es opciónal."|si esta desactivada el uso del punto y coma es opcional.|pseint/LangSettings.cpp|26|if disabled, the use of semicolons is optional.|READY

"Si esta opción esta activada, el primer elemento de un arreglo de N elementos será el 0 y el último el N-1, mientras "|Si esta opcion esta activada, el primer elemento de un arreglo de N elementos sera el 0 y el ultimo el N-1, mientras |pseint/LangSettings.cpp|30|If this option is enabled, the first element of an array of N elements will be 0 and the last N-1, while|READY
"que en caso contrario el primero será el 1 y el último el N"|que en caso contrario el primero sera el 1 y el ultimo el N|pseint/LangSettings.cpp|31|otherwise the first will be 1 and the last N|READY
"Si esta opción esta activada se puede concatenar el contenido de dos variables de tipo caracter con el operador +. "|Si esta opcion esta activada se puede concatenar el contenido de dos variables de tipo caracter con el operador +. |pseint/LangSettings.cpp|35|If this option is enabled, you can concatenate two string variables using the + operator.|READY
"Por ejemplo: NombreCompleto <- Nombre+\" \"+Apellido;"|Por ejemplo: NombreCompleto <- Nombre+\" \"+Apellido;|pseint/LangSettings.cpp|36|For example: FullName <- Name+\" \"+LastName;|READY

"Con esta opción activada, el editor de diagramas utilizará el formato de Nassi-Shneiderman\n"|Con esta opcion activada, el editor de diagramas utilizara el formato de Nassi-Shneiderman\n|pseint/LangSettings.cpp|40|With this option enabled, the diagram editor will use the Nassi-Shneiderman format\n|READY
"en lugar del formato clásico de diagrama de flujo."|en lugar del formato clasico de diagrama de flujo.|pseint/LangSettings.cpp|41|instead of the classic flowchart format.|READY
"Con esta opción activada, si se utiliza el diagrama de flujo clásico (no Nassi-Shneiderman), los bloques para las instrucciones"|Con esta opcion activada, si se utiliza el diagrama de flujo clasico (no Nassi-Shneiderman), los bloques para las instrucciones|pseint/LangSettings.cpp|45|With this option enabled, if the classic flowchart (not Nassi-Shneiderman) is used, the blocks for instructions|READY
"Leer y Escribir serán diferentes entre sí, siguiendo una convención alternativa"|Leer y Escribir seran diferentes entre si, siguiendo una convencion alternativa|pseint/LangSettings.cpp|46|Read and Write will be different from each other, following an alternative convention|READY

"Si esta opción está seleccionada se puede utilizar una variable o una expresión que involucre variables para dimensionar un "|Si esta opcion esta seleccionada se puede utilizar una variable o una expresion que involucre variables para dimensionar un |pseint/LangSettings.cpp|50|If this option is enabled, a variable or expression involving variables can be used to size an|READY
